Year,Ethnicity,Education,rural_urban_class,Gender.Code,Region,measure1,measure2,attr,source,agr_by,overall_value
1990,"All, All Origins",666,All,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,2057450
1990,"All, All Origins",666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,899.268648738493
1990,"All, All Origins",666,All,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,1297.62743476221
1990,"All, All Origins",666,All,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,45299053.7351739
1990,"All, All Origins",666,All,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,19151.359729915
1990,"All, All Origins",666,All,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,28569.9749182382
1990,American Indian or Alaska Native,666,Large metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,1348
1990,American Indian or Alaska Native,666,Large metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,388.425644178741
1990,American Indian or Alaska Native,666,Large metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,363.927937948667
1990,American Indian or Alaska Native,666,Large metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,43959.223023165
1990,American Indian or Alaska Native,666,Large metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,9702.05102728608
1990,American Indian or Alaska Native,666,Large metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,11867.9446503309
1990,American Indian or Alaska Native,666,Small-medium metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,906
1990,American Indian or Alaska Native,666,Small-medium metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,265.980621006914
1990,American Indian or Alaska Native,666,Small-medium metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,278.372656799698
1990,American Indian or Alaska Native,666,Small-medium metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,28629.952698244
1990,American Indian or Alaska Native,666,Small-medium metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,6874.59527669467
1990,American Indian or Alaska Native,666,Small-medium metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,8796.68432302412
1990,American Indian or Alaska Native,666,Non metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,276
1990,American Indian or Alaska Native,666,Non metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,75.9487010021903
1990,American Indian or Alaska Native,666,Non metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,84.1702067964392
1990,American Indian or Alaska Native,666,Non metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,7853.221526348
1990,American Indian or Alaska Native,666,Non metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,1841.82643189535
1990,American Indian or Alaska Native,666,Non metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,2394.9539126484
1990,American Indian or Alaska Native,666,All,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,7131
1990,American Indian or Alaska Native,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,701.851409855679
1990,American Indian or Alaska Native,666,All,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,670.81642808831
1990,American Indian or Alaska Native,666,All,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,216611.699520661
1990,American Indian or Alaska Native,666,All,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,16775.3270105218
1990,American Indian or Alaska Native,666,All,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,20376.7615418017
1990,Asian or Pacific Islander,666,Large metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,12626
1990,Asian or Pacific Islander,666,Large metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,511.523802189314
1990,Asian or Pacific Islander,666,Large metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,384.935855710944
1990,Asian or Pacific Islander,666,Large metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,327603.415866996
1990,Asian or Pacific Islander,666,Large metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,10000.7725089369
1990,Asian or Pacific Islander,666,Large metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,9987.82680346826
1990,Asian or Pacific Islander,666,Small-medium metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,4745
1990,Asian or Pacific Islander,666,Small-medium metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,547.355371578586
1990,Asian or Pacific Islander,666,Small-medium metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,538.269913150802
1990,Asian or Pacific Islander,666,Small-medium metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,114396.1688754
1990,Asian or Pacific Islander,666,Small-medium metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,11049.5719285804
1990,Asian or Pacific Islander,666,Small-medium metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,12977.0317988084
1990,Asian or Pacific Islander,666,Non metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,6
1990,Asian or Pacific Islander,666,Non metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,3.33216585865818
1990,Asian or Pacific Islander,666,Non metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,4.33031654613952
1990,Asian or Pacific Islander,666,Non metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,174.25955735
1990,Asian or Pacific Islander,666,Non metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,91.1486070325891
1990,Asian or Pacific Islander,666,Non metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,125.766507419276
1990,Asian or Pacific Islander,666,All,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,19291
1990,Asian or Pacific Islander,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,555.770326627827
1990,Asian or Pacific Islander,666,All,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,436.657598964933
1990,Asian or Pacific Islander,666,All,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,488819.570217738
1990,Asian or Pacific Islander,666,All,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,10821.3858125452
1990,Asian or Pacific Islander,666,All,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,11064.5782934191
1990,Black American,666,Large metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,148490
1990,Black American,666,Large metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,1125.57300969985
1990,Black American,666,Large metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,1312.42016677785
1990,Black American,666,Large metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,4329762.23272035
1990,Black American,666,Large metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,28575.3794383352
1990,Black American,666,Large metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,38268.3498658179
1990,Black American,666,Small-medium metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,34543
1990,Black American,666,Small-medium metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,734.457952870881
1990,Black American,666,Small-medium metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,921.707556438345
1990,Black American,666,Small-medium metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,937653.131107912
1990,Black American,666,Small-medium metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,18397.2256752061
1990,Black American,666,Small-medium metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,25019.3085794585
1990,Black American,666,Non metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,286
1990,Black American,666,Non metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,11.2544064437254
1990,Black American,666,Non metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,17.5666719694266
1990,Black American,666,Non metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,7210.561151028
1990,Black American,666,Non metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,285.690476009561
1990,Black American,666,Non metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,442.886582012588
1990,Black American,666,All,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,240849
1990,Black American,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,1185.44551809596
1990,Black American,666,All,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,1422.31135974712
1990,Black American,666,All,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,6705217.02521628
1990,Black American,666,All,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,29462.1556623412
1990,Black American,666,All,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,39597.0352566748
1990,White,666,Large metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,851780
1990,White,666,Large metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,802.148133644687
1990,White,666,Large metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,1178.3045603131
1990,White,666,Large metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,18366558.4778858
1990,White,666,Large metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,16837.8542359838
1990,White,666,Large metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,25407.2643308721
1990,White,666,Small-medium metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,325297
1990,White,666,Small-medium metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,539.690993922867
1990,White,666,Small-medium metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,827.137205706928
1990,White,666,Small-medium metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,6846869.70391126
1990,White,666,Small-medium metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,11136.2637605796
1990,White,666,Small-medium metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,17409.6308134799
1990,White,666,Non metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,9212
1990,White,666,Non metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,25.8574705036664
1990,White,666,Non metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,45.8685675333994
1990,White,666,Non metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,188297.531376098
1990,White,666,Non metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,544.676736112918
1990,White,666,Non metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,937.574688916298
1990,White,666,All,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,1789941
1990,White,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,874.696465588258
1990,White,666,All,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,1314.77761052374
1990,White,666,All,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,37880943.7998161
1990,White,666,All,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,18145.1465476998
1990,White,666,All,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,27824.9488522283
1991,"All, All Origins",666,Large metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,1020508
1991,"All, All Origins",666,Large metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,67554.4115348856
1991,"All, All Origins",666,Large metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,93028.4754736364
1991,"All, All Origins",666,Large metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,23149144.1843729
1991,"All, All Origins",666,Large metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,1453754.97220145
1991,"All, All Origins",666,Large metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,2110252.53304394
1991,"All, All Origins",666,Small-medium metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,371734
1991,"All, All Origins",666,Small-medium metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,24739.7909255642
1991,"All, All Origins",666,Small-medium metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,38173.615737926
1991,"All, All Origins",666,Small-medium metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,8026327.99122928
1991,"All, All Origins",666,Small-medium metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,525619.813608354
1991,"All, All Origins",666,Small-medium metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,824229.046909204
1991,"All, All Origins",666,Non metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,9892
1991,"All, All Origins",666,Non metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,313.407054929167
1991,"All, All Origins",666,Non metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,533.973034875921
1991,"All, All Origins",666,Non metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,204506.802652669
1991,"All, All Origins",666,Non metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,6629.49489274326
1991,"All, All Origins",666,Non metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,11039.336642258
1991,"All, All Origins",666,All,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,2080031
1991,"All, All Origins",666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,889.667671840945
1991,"All, All Origins",666,All,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,1290.09287630944
1991,"All, All Origins",666,All,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,45644297.3356879
1991,"All, All Origins",666,All,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,18969.3970259966
1991,"All, All Origins",666,All,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,28309.8582842857
1991,American Indian or Alaska Native,666,Large metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,1367
1991,American Indian or Alaska Native,666,Large metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,17151.1904657941
1991,American Indian or Alaska Native,666,Large metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,18514.7042646884
1991,American Indian or Alaska Native,666,Large metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,42562.805372016
1991,American Indian or Alaska Native,666,Large metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,443023.758646104
1991,American Indian or Alaska Native,666,Large metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,576472.387811534
1991,American Indian or Alaska Native,666,Small-medium metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,929
1991,American Indian or Alaska Native,666,Small-medium metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,2978.05060956742
1991,American Indian or Alaska Native,666,Small-medium metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,3525.82612452524
1991,American Indian or Alaska Native,666,Small-medium metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,27748.113182945
1991,American Indian or Alaska Native,666,Small-medium metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,78280.1432598096
1991,American Indian or Alaska Native,666,Small-medium metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,105312.187692907
1991,American Indian or Alaska Native,666,Non metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,292
1991,American Indian or Alaska Native,666,Non metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,1014.49070765703
1991,American Indian or Alaska Native,666,Non metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,1184.79623622898
1991,American Indian or Alaska Native,666,Non metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,8033.350157101
1991,American Indian or Alaska Native,666,Non metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,24311.4840892711
1991,American Indian or Alaska Native,666,Non metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,32595.4898302834
1991,American Indian or Alaska Native,666,All,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,7550
1991,American Indian or Alaska Native,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,726.582863412948
1991,American Indian or Alaska Native,666,All,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,685.49990648147
1991,American Indian or Alaska Native,666,All,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,224640.752142306
1991,American Indian or Alaska Native,666,All,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,16964.9216964841
1991,American Indian or Alaska Native,666,All,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,20396.1873623149
1991,Asian or Pacific Islander,666,Large metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,13635
1991,Asian or Pacific Islander,666,Large metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,213106.91591492
1991,Asian or Pacific Islander,666,Large metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,123009.413748818
1991,Asian or Pacific Islander,666,Large metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,352837.318402451
1991,Asian or Pacific Islander,666,Large metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,3843648.98901863
1991,Asian or Pacific Islander,666,Large metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,3183154.50571253
1991,Asian or Pacific Islander,666,Small-medium metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,4888
1991,Asian or Pacific Islander,666,Small-medium metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,107078.357196186
1991,Asian or Pacific Islander,666,Small-medium metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,54018.4258933292
1991,Asian or Pacific Islander,666,Small-medium metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,115020.762953446
1991,Asian or Pacific Islander,666,Small-medium metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,1756682.51873217
1991,Asian or Pacific Islander,666,Small-medium metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,1271121.22745395
1991,Asian or Pacific Islander,666,Non metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,6
1991,Asian or Pacific Islander,666,Non metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,60.6385917728625
1991,Asian or Pacific Islander,666,Non metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,36.2858206941856
1991,Asian or Pacific Islander,666,Non metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,158.21399055
1991,Asian or Pacific Islander,666,Non metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,1226.05387731657
1991,Asian or Pacific Islander,666,Non metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,956.820748734813
1991,Asian or Pacific Islander,666,All,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,20458
1991,Asian or Pacific Islander,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,549.210280260534
1991,Asian or Pacific Islander,666,All,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,435.892223953746
1991,Asian or Pacific Islander,666,All,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,515628.28763885
1991,Asian or Pacific Islander,666,All,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,10661.3110602771
1991,Asian or Pacific Islander,666,All,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,10986.3310701124
1991,Black American,666,Large metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,150580
1991,Black American,666,Large metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,135290.93561692
1991,Black American,666,Large metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,177913.958493558
1991,Black American,666,Large metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,4387699.50725761
1991,Black American,666,Large metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,3689296.87455581
1991,Black American,666,Large metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,5184174.44558662
1991,Black American,666,Small-medium metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,35034
1991,Black American,666,Small-medium metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,34723.5232404853
1991,Black American,666,Small-medium metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,43159.7883168565
1991,Black American,666,Small-medium metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,950413.46160141
1991,Black American,666,Small-medium metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,859504.543072243
1991,Black American,666,Small-medium metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,1170852.42382279
1991,Black American,666,Non metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,319
1991,Black American,666,Non metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,137.965413814547
1991,Black American,666,Non metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,197.928628209856
1991,Black American,666,Non metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,7979.476097272
1991,Black American,666,Non metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,3441.11042449723
1991,Black American,666,Non metro,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,4950.99297105449
1991,Black American,666,All,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,244294
1991,Black American,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,1175.8928135141
1991,Black American,666,All,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,1408.35148150915
1991,Black American,666,All,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,6797870.54332183
1991,Black American,666,All,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,29221.4147202208
1991,Black American,666,All,All genders,United States,YLL,"crude rate per 100,000",overall,National Vital Statistics System,nation,39189.6282790193
1991,White,666,Large metro,All genders,United States,Deaths,absolute number,overall,National Vital Statistics System,nation,854779
1991,White,666,Large metro,All genders,United States,Deaths,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,65878.386530899
1991,White,666,Large metro,All genders,United States,Deaths,"crude rate per 100,000",overall,National Vital Statistics System,nation,95471.8907219124
1991,White,666,Large metro,All genders,United States,YLL,absolute number,overall,National Vital Statistics System,nation,18361422.1960452
1991,White,666,Large metro,All genders,United States,YLL,"age-adjusted rate per 100,000",overall,National Vital Statistics System,nation,1364110.67337105
