"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Ethnicity"	"Ethnicity Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	441434
	"< 1 year"	"0"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	457815
	"< 1 year"	"0"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1006778
	"< 1 year"	"0"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1059300
	"< 1 year"	"0"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	437435
	"< 1 year"	"0"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	456377
	"< 1 year"	"0"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1008535
	"< 1 year"	"0"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1058912
	"1 year"	"1"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	334769
	"1 year"	"1"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	348757
	"1 year"	"1"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1109873
	"1 year"	"1"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1170243
	"1 year"	"1"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	357765
	"1 year"	"1"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	375867
	"1 year"	"1"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1105182
	"1 year"	"1"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1163429
	"1 year"	"1"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	393527
	"1 year"	"1"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	409918
	"1 year"	"1"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1124942
	"1 year"	"1"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1179081
	"1 year"	"1"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	401645
	"1 year"	"1"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	417093
	"1 year"	"1"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1092307
	"1 year"	"1"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1146404
	"1 year"	"1"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	408904
	"1 year"	"1"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	425143
	"1 year"	"1"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1089792
	"1 year"	"1"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1144905
	"1 year"	"1"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	416920
	"1 year"	"1"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	433015
	"1 year"	"1"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1089457
	"1 year"	"1"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1144123
	"1 year"	"1"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	422260
	"1 year"	"1"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	440502
	"1 year"	"1"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1065058
	"1 year"	"1"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1118039
	"1 year"	"1"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	435625
	"1 year"	"1"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	452555
	"1 year"	"1"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1057940
	"1 year"	"1"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1111001
	"1 year"	"1"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	452276
	"1 year"	"1"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	471429
	"1 year"	"1"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1066590
	"1 year"	"1"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1118750
	"1 year"	"1"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	449851
	"1 year"	"1"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	468125
	"1 year"	"1"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1053816
	"1 year"	"1"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1102470
	"1 year"	"1"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	433334
	"1 year"	"1"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	450233
	"1 year"	"1"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1022867
	"1 year"	"1"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1072512
	"1 year"	"1"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	442395
	"1 year"	"1"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	458980
	"1 year"	"1"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1017084
	"1 year"	"1"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1067370
	"1 year"	"1"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	450296
	"1 year"	"1"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	468534
	"1 year"	"1"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1013986
	"1 year"	"1"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1068790
	"1 year"	"1"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	437022
	"1 year"	"1"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	453508
	"1 year"	"1"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1007997
	"1 year"	"1"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1060055
	"1 year"	"1"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	435196
	"1 year"	"1"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	451518
	"1 year"	"1"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1006122
	"1 year"	"1"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1057579
	"1 year"	"1"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	436621
	"1 year"	"1"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	455615
	"1 year"	"1"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1009762
	"1 year"	"1"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1065140
	"1 year"	"1"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	444023
	"1 year"	"1"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	460434
	"1 year"	"1"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1008055
	"1 year"	"1"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1060651
	"2 years"	"2"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	329673
	"2 years"	"2"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	345574
	"2 years"	"2"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1111756
	"2 years"	"2"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1171179
	"2 years"	"2"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	336891
	"2 years"	"2"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	351411
	"2 years"	"2"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1106091
	"2 years"	"2"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1166088
	"2 years"	"2"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	358835
	"2 years"	"2"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	377536
	"2 years"	"2"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1101714
	"2 years"	"2"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1159996
	"2 years"	"2"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	393144
	"2 years"	"2"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	410203
	"2 years"	"2"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1121719
	"2 years"	"2"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1176079
	"2 years"	"2"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	400299
	"2 years"	"2"	"2004"	"2004"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	416455
	"2 years"	"2"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1089445
	"2 years"	"2"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1144151
	"2 years"	"2"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	407226
	"2 years"	"2"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	424265
	"2 years"	"2"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1087549
	"2 years"	"2"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1143528
	"2 years"	"2"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	414952
	"2 years"	"2"	"2006"	"2006"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	431996
	"2 years"	"2"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1087682
	"2 years"	"2"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1143439
	"2 years"	"2"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	419755
	"2 years"	"2"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	438997
	"2 years"	"2"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1063741
	"2 years"	"2"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1118123
	"2 years"	"2"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	432511
	"2 years"	"2"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	450633
	"2 years"	"2"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1057028
	"2 years"	"2"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1111756
	"2 years"	"2"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	448362
	"2 years"	"2"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	468840
	"2 years"	"2"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1065961
	"2 years"	"2"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1120077
	"2 years"	"2"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	447415
	"2 years"	"2"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	467319
	"2 years"	"2"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1055810
	"2 years"	"2"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1106588
	"2 years"	"2"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	435214
	"2 years"	"2"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	452205
	"2 years"	"2"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1023713
	"2 years"	"2"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1073421
	"2 years"	"2"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	444137
	"2 years"	"2"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	460629
	"2 years"	"2"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1018048
	"2 years"	"2"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1068371
	"2 years"	"2"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	452282
	"2 years"	"2"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	470295
	"2 years"	"2"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1014959
	"2 years"	"2"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1069913
	"2 years"	"2"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	439290
	"2 years"	"2"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	455511
	"2 years"	"2"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1009135
	"2 years"	"2"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1061369
	"2 years"	"2"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	437497
	"2 years"	"2"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	453641
	"2 years"	"2"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1007361
	"2 years"	"2"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1059077
	"2 years"	"2"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	438995
	"2 years"	"2"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	457743
	"2 years"	"2"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1010996
	"2 years"	"2"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1066529
	"3 years"	"3"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	328043
	"3 years"	"3"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	343502
	"3 years"	"3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1124212
	"3 years"	"3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"Male"	"M"	"White"	"2106-3"	1181084
	"3 years"	"3"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"Female"	"F"	"White"	"2106-3"	331836
	"3 years"	"3"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"Male"	"M"	"White"	"2106-3"	348108
	"3 years"	"3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"Female"	"F"	"White"	"2106-3"	1108718
