...1,...2,Year,Gender.Code,Ethnicity,svi_bin,rural_urban_class,attr,Education,source,svi_bin1,svi_bin2,svi_bin3,svi_bin4,scenario,method,measure1,measure2,Region,mean,lower,upper,min_age,max_age,measure3,agr_by
,,1992,All genders,"All, All Origins",All,Large metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,57.0629656926333,55.4995967695475,58.6263346157192,65,150,value,nation
,,1992,All genders,"All, All Origins",All,Large metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,absolute number,United States,58145.9924591423,55377.1356753738,59991.8969816548,65,150,value,nation
,,1992,All genders,"All, All Origins",All,Large metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,49.2461210772041,46.9010676925754,50.8094900002899,65,150,value,nation
,,1992,All genders,"All, All Origins",All,Small-medium metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,32447.8996871407,31558.9161340684,33336.8832402131,65,150,value,nation
,,1992,All genders,"All, All Origins",All,Small-medium metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,45.7573586059003,44.503732342725,47.0109848690757,65,150,value,nation
,,1992,All genders,"All, All Origins",All,Small-medium metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,absolute number,United States,28002.981921779,26669.5065921705,28891.9654748513,65,150,value,nation
,,1992,All genders,"All, All Origins",All,Small-medium metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,39.4892272900236,37.6087878952606,40.7428535531989,65,150,value,nation
,,1992,All genders,"All, All Origins",All,Non metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,18808.2815935496,18292.9862074249,19323.5769796742,65,150,value,nation
,,1992,All genders,"All, All Origins",All,Non metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,39.1657410603986,38.0927070587438,40.2387750620533,65,150,value,nation
,,1992,All genders,"All, All Origins",All,Non metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,absolute number,United States,16231.8046629263,15458.8615837394,16747.100049051,65,150,value,nation
,,1992,All genders,"All, All Origins",All,Non metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,33.8005710521248,32.1910200496427,34.8736050537795,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,High SES,All,All,All,real,di_gee,Deaths,absolute number,United States,40717.4660657215,39601.9190502222,41833.0130812207,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,High SES,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,45.8083536593625,44.5533302714348,47.0633770472903,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,High SES,All,All,All,real,di_gee_white,Deaths,absolute number,United States,35139.7309882254,33466.4104649766,36255.2780037246,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,High SES,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,39.5332367197238,37.6507016378323,40.7882601076515,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,Middle SES,All,All,All,real,di_gee,Deaths,absolute number,United States,54389.8133845315,52899.6815109827,55879.9452580803,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,Middle SES,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,52.5281685813152,51.0890406749778,53.9672964876526,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,Middle SES,All,All,All,real,di_gee_white,Deaths,absolute number,United States,46939.1540167875,44703.9562064643,48429.2858903363,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,Middle SES,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,45.3325290496282,43.1738371901222,46.7716569559656,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,Low SES,All,All,All,real,di_gee,Deaths,absolute number,United States,23524.416902142,22879.9123294806,24168.9214748034,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,Low SES,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,52.8387754258841,51.3911377429832,54.2864131087851,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,Low SES,All,All,All,real,di_gee_white,Deaths,absolute number,United States,20301.8940388348,19335.1371798427,20946.3986114963,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,Low SES,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,45.6005870113795,43.4291304870281,47.0482246942804,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,High HC,All,All,real,di_gee,Deaths,absolute number,United States,37053.0879281436,36037.9348342219,38068.2410220654,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,High HC,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,46.5903687278557,45.3139202695583,47.8668171861531,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,High HC,All,All,real,di_gee_white,Deaths,absolute number,United States,31977.3224585349,30454.5928176523,32992.4755524566,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,High HC,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,40.2081264363686,38.2934537489225,41.484574894666,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,Middle HC,All,All,real,di_gee,Deaths,absolute number,United States,48976.7211036511,47634.8931282086,50318.5490790937,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,Middle HC,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,52.4312266684026,50.9947547048847,53.8676986319205,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,Middle HC,All,All,real,di_gee_white,Deaths,absolute number,United States,42267.5812264387,40254.839263275,43609.4092018812,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,Middle HC,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,45.2488668508132,43.0941589055364,46.6853388143311,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,Low HC,All,All,real,di_gee,Deaths,absolute number,United States,32601.8873206002,31708.684928255,33495.0897129454,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,Low HC,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,50.9136446179307,49.5187502448368,52.3085389910248,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,Low HC,All,All,real,di_gee_white,Deaths,absolute number,United States,28135.8753588741,26796.0717703564,29029.0777512193,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,Low HC,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,43.9391727524608,41.8468311928199,45.3340671255548,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,High MS,All,real,di_gee,Deaths,absolute number,United States,12274.2993105969,11938.0171377038,12610.58148349,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,High MS,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,43.462783406881,42.2720222176514,44.6535445961107,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,High MS,All,real,di_gee_white,Deaths,absolute number,United States,10592.8884461316,10088.465186792,10929.1706190246,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,High MS,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,37.5089774607329,35.7228356768886,38.6997386499626,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,Middle MS,All,real,di_gee,Deaths,absolute number,United States,24956.3581022725,24272.622263854,25640.0939406909,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,Middle MS,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,48.1498437770948,46.8306699749826,49.469017579207,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,Middle MS,All,real,di_gee_white,Deaths,absolute number,United States,21537.6789101803,20512.0751525527,22221.4147485988,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,Middle MS,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,41.5539747665339,39.5752140633657,42.8731485686461,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,Low MS,All,real,di_gee,Deaths,absolute number,United States,81401.0389395256,79170.8734891276,83631.2043899236,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,Low MS,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,51.8917627513994,50.470070621224,53.3134548815747,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,Low MS,All,real,di_gee_white,Deaths,absolute number,United States,70250.2116875358,66904.963511939,72480.3771379338,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,Low MS,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,44.7833021005227,42.6507639052598,46.204994230698,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,All,High HTT,real,di_gee,Deaths,absolute number,United States,14551.7240398484,14153.0466688936,14950.4014108031,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,All,High HTT,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,44.4670950812376,43.2488185036695,45.6853716588058,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,All,High HTT,real,di_gee_white,Deaths,absolute number,United States,12558.3371850746,11960.3211286425,12957.0145560294,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,All,High HTT,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,38.3757121933969,36.5482973270447,39.593988770965,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,All,Middle HTT,real,di_gee,Deaths,absolute number,United States,41283.3420175198,40152.2915512864,42414.3924837532,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,All,Middle HTT,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,49.7034970286384,48.3417573840182,51.0652366732586,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,All,Middle HTT,real,di_gee_white,Deaths,absolute number,United States,35628.0896863527,33931.5139870026,36759.1401525861,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,All,Middle HTT,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,42.8947988055372,40.852189338607,44.2565384501575,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,All,Low HTT,real,di_gee,Deaths,absolute number,United States,62796.6302950268,61076.1746705055,64517.0859195481,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,All,Low HTT,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,51.8265123295177,50.4066078821337,53.2464167769018,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,All,Low HTT,real,di_gee_white,Deaths,absolute number,United States,54194.3521724204,51613.6687356385,55914.8077969417,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,All,Low HTT,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,44.7269900925975,42.5971334215215,46.1468945399815,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,118631.696352395,115381.512890685,121881.879814104,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,49.4910689806086,48.1351492825097,50.8469886787075,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,absolute number,United States,102380.779043848,97505.5038512837,105630.962505557,65,150,value,nation
,,1992,All genders,"All, All Origins",All,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,42.7114704901143,40.677590942966,44.0673901882131,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,Resilient SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,24.6085387086221,14.7651232251733,34.4519541920709,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,Resilient SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,27.6847823519234,16.6108694111541,38.7586952926928,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,Resilient SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,absolute number,United States,15.5033793864319,14.7651232251733,15.9955501606043,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,Resilient SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,17.4414128817117,16.6108694111541,17.9951085287502,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,Moderate SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,67.1597781300489,40.2958668780293,94.0236893820683,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,Moderate SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,27.8940486286092,16.7364291771655,39.0516680800528,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,Moderate SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,absolute number,United States,42.3106602219307,40.2958668780293,43.6538557845317,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,Moderate SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,17.5732506360237,16.7364291771655,18.1311316085959,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,Vulnerable SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,127.765571052176,76.6593426313059,178.871799473047,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,Vulnerable SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,24.8540743438352,14.9124446063011,34.7957040813692,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,Vulnerable SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,absolute number,United States,80.492309762871,76.6593426313059,83.0476211839145,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,Vulnerable SVI,All,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,15.6580668366161,14.9124446063011,16.1551483234928,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,Large metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,69.0698608896959,41.4419165338176,96.6978052455742,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,Large metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,30.3671307892871,18.2202784735722,42.5139831050018,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,Large metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,absolute number,United States,43.5140123605084,41.4419165338176,44.8954095783023,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,Large metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,19.1312923972508,18.2202784735722,19.7386350130366,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,Small-medium metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,61.1654099337833,36.69924596027,85.6315739072965,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,Small-medium metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,25.4184415851418,15.2510649510851,35.5858182191985,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,Small-medium metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,absolute number,United States,38.5342082582834,36.69924596027,39.7575164569591,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,Small-medium metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,16.0136181986393,15.2510649510851,16.5219870303422,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,Non metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,absolute number,United States,89.2986170673681,53.5791702404209,125.018063894315,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,Non metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,23.7712315537081,14.2627389322249,33.2797241751913,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,Non metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,absolute number,United States,56.2581287524418,53.5791702404209,58.0441010937892,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,Non metro,attributable,666,National Vital Statistics System,All,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,14.9758758788361,14.2627389322249,15.4513005099102,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,High SES,All,All,All,real,di_gee,Deaths,absolute number,United States,53.3516442031622,32.0109865218973,74.6923018844271,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,High SES,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,27.0865592531227,16.2519355518736,37.9211829543718,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,High SES,All,All,All,real,di_gee_white,Deaths,absolute number,United States,33.6115358479922,32.0109865218973,34.6785687320554,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,High SES,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,17.0645323294673,16.2519355518736,17.6062635145297,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,Middle SES,All,All,All,real,di_gee,Deaths,absolute number,United States,86.6914173191501,52.0148503914901,121.36798424681,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,Middle SES,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,26.7861672291112,16.0717003374667,37.5006341207556,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,Middle SES,All,All,All,real,di_gee_white,Deaths,absolute number,United States,54.6155929110645,52.0148503914901,56.3494212574475,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,Middle SES,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,16.87528535434,16.0717003374667,17.4110086989223,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,Low SES,All,All,All,real,di_gee,Deaths,absolute number,United States,79.490826368535,47.694495821121,111.287156915949,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,Low SES,All,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,24.5764733145742,14.7458839887445,34.4070626404039,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,Low SES,All,All,All,real,di_gee_white,Deaths,absolute number,United States,50.079220612177,47.694495821121,51.6690371395477,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,Low SES,All,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,15.4831781881817,14.7458839887445,15.9747076544732,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,All,High HC,All,All,real,di_gee,Deaths,absolute number,United States,45.3402098169314,27.2041258901588,63.4762937437038,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,All,High HC,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,27.898094599246,16.7388567595476,39.0573324389444,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,All,High HC,All,All,real,di_gee_white,Deaths,absolute number,United States,28.5643321846667,27.2041258901588,29.4711363810053,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,All,High HC,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,17.575799597525,16.7388567595476,18.1337614895099,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,All,Middle HC,All,All,real,di_gee,Deaths,absolute number,United States,56.2923331295409,33.7753998777245,78.8092663813571,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,All,Middle HC,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,25.6861725694352,15.4117035416611,35.9606415972092,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,All,Middle HC,All,All,real,di_gee_white,Deaths,absolute number,United States,35.4641698716107,33.7753998777245,36.5900165342015,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,All,Middle HC,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,16.1822887187441,15.4117035416611,16.6960121701328,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,All,Low HC,All,All,real,di_gee,Deaths,absolute number,United States,117.901344944375,70.7408069666251,165.061882922125,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,All,Low HC,All,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,25.4796594929441,15.2877956957664,35.6715232901216,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,All,Low HC,All,All,real,di_gee_white,Deaths,absolute number,United States,74.2778473149562,70.7408069666251,76.6358742138437,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,All,Low HC,All,All,real,di_gee_white,Deaths,"age-adjusted rate per 100,000",United States,16.0521854805547,15.2877956957664,16.5617786704136,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,All,All,High MS,All,real,di_gee,Deaths,absolute number,United States,11.6583813860956,6.99502883165733,16.3217339405337,65,150,value,nation
,,1992,All genders,American Indian or Alaska Native,All,All,attributable,666,National Vital Statistics System,All,All,High MS,All,real,di_gee,Deaths,"age-adjusted rate per 100,000",United States,24.6884584805022,14.8130750883013,34.563841872703,65,150,value,nation
