Year,Gender.Code,Ethnicity,svi_bin,rural_urban_class,Education,source,svi_bin1,svi_bin2,svi_bin3,svi_bin4,measure1,measure2,Region,value,min_age,max_age,agr_by
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,Middle SES,All,All,All,Deaths,absolute number,United States,721341,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,Middle SES,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,927.144316663652,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,Low SES,All,All,All,Deaths,absolute number,United States,430955,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,Low SES,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,974.315593870637,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,High HC,All,All,Deaths,absolute number,United States,738146,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,High HC,All,All,Deaths,"age-adjusted rate per 100,000",United States,854.648047431929,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,Middle HC,All,All,Deaths,absolute number,United States,692216,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,Middle HC,All,All,Deaths,"age-adjusted rate per 100,000",United States,898.450002237411,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,Low HC,All,All,Deaths,absolute number,United States,609366,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,Low HC,All,All,Deaths,"age-adjusted rate per 100,000",United States,963.165351873494,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,All,High MS,All,Deaths,absolute number,United States,253627,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,All,High MS,All,Deaths,"age-adjusted rate per 100,000",United States,898.985226633355,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,All,Middle MS,All,Deaths,absolute number,United States,455145,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,All,Middle MS,All,Deaths,"age-adjusted rate per 100,000",United States,888.324143783121,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,All,Low MS,All,Deaths,absolute number,United States,1330956,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,All,Low MS,All,Deaths,"age-adjusted rate per 100,000",United States,900.558655279703,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,All,All,High HTT,Deaths,absolute number,United States,305208,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,All,All,High HTT,Deaths,"age-adjusted rate per 100,000",United States,857.924344978379,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,All,All,Middle HTT,Deaths,absolute number,United States,610105,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,All,All,Middle HTT,Deaths,"age-adjusted rate per 100,000",United States,881.677372842012,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,All,All,Low HTT,Deaths,absolute number,United States,1124415,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,All,All,Low HTT,Deaths,"age-adjusted rate per 100,000",United States,920.526780923774,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,2039728,25,150,nation
1990,All genders,"All, All Origins",All,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,891.471991047596,25,150,nation
1990,All genders,American Indian or Alaska Native,Resilient SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,756,25,150,nation
1990,All genders,American Indian or Alaska Native,Resilient SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,594.302341784405,25,150,nation
1990,All genders,American Indian or Alaska Native,Moderate SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,1942,25,150,nation
1990,All genders,American Indian or Alaska Native,Moderate SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,659.901078674151,25,150,nation
1990,All genders,American Indian or Alaska Native,Vulnerable SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,4378,25,150,nation
1990,All genders,American Indian or Alaska Native,Vulnerable SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,719.742899417381,25,150,nation
1990,All genders,American Indian or Alaska Native,All,Large metro,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,1617,25,150,nation
1990,All genders,American Indian or Alaska Native,All,Large metro,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,473.786752066443,25,150,nation
1990,All genders,American Indian or Alaska Native,All,Small-medium metro,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,2182,25,150,nation
1990,All genders,American Indian or Alaska Native,All,Small-medium metro,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,660.703451458837,25,150,nation
1990,All genders,American Indian or Alaska Native,All,Non metro,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,3277,25,150,nation
1990,All genders,American Indian or Alaska Native,All,Non metro,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,888.411203132596,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,High SES,All,All,All,Deaths,absolute number,United States,1647,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,High SES,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,590.261408979361,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,Middle SES,All,All,All,Deaths,absolute number,United States,1932,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,Middle SES,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,618.370921632338,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,Low SES,All,All,All,Deaths,absolute number,United States,3497,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,Low SES,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,793.20910994152,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,High HC,All,All,Deaths,absolute number,United States,1248,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,High HC,All,All,Deaths,"age-adjusted rate per 100,000",United States,588.492139614287,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,Middle HC,All,All,Deaths,absolute number,United States,1902,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,Middle HC,All,All,Deaths,"age-adjusted rate per 100,000",United States,629.545831780736,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,Low HC,All,All,Deaths,absolute number,United States,3926,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,Low HC,All,All,Deaths,"age-adjusted rate per 100,000",United States,756.72003696657,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,All,High MS,All,Deaths,absolute number,United States,355,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,All,High MS,All,Deaths,"age-adjusted rate per 100,000",United States,667.945250236057,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,All,Middle MS,All,Deaths,absolute number,United States,1741,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,All,Middle MS,All,Deaths,"age-adjusted rate per 100,000",United States,719.706234353676,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,All,Low MS,All,Deaths,absolute number,United States,4980,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,All,Low MS,All,Deaths,"age-adjusted rate per 100,000",United States,673.971891343071,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,All,All,High HTT,Deaths,absolute number,United States,596,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,All,All,High HTT,Deaths,"age-adjusted rate per 100,000",United States,637.856651486877,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,All,All,Middle HTT,Deaths,absolute number,United States,1351,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,All,All,Middle HTT,Deaths,"age-adjusted rate per 100,000",United States,599.928519943243,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,All,All,Low HTT,Deaths,absolute number,United States,5129,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,All,All,Low HTT,Deaths,"age-adjusted rate per 100,000",United States,719.41687020408,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,7076,25,150,nation
1990,All genders,American Indian or Alaska Native,All,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,696.676403457899,25,150,nation
1990,All genders,Asian or Pacific Islander,Resilient SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,2680,25,150,nation
1990,All genders,Asian or Pacific Islander,Resilient SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,242.148900545267,25,150,nation
1990,All genders,Asian or Pacific Islander,Moderate SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,8214,25,150,nation
1990,All genders,Asian or Pacific Islander,Moderate SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,298.271602151594,25,150,nation
1990,All genders,Asian or Pacific Islander,Vulnerable SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,8349,25,150,nation
1990,All genders,Asian or Pacific Islander,Vulnerable SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,268.923589725915,25,150,nation
1990,All genders,Asian or Pacific Islander,All,Large metro,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,12706,25,150,nation
1990,All genders,Asian or Pacific Islander,All,Large metro,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,257.216241950162,25,150,nation
1990,All genders,Asian or Pacific Islander,All,Small-medium metro,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,5470,25,150,nation
1990,All genders,Asian or Pacific Islander,All,Small-medium metro,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,314.837234048391,25,150,nation
1990,All genders,Asian or Pacific Islander,All,Non metro,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,1067,25,150,nation
1990,All genders,Asian or Pacific Islander,All,Non metro,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,353.856908251893,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,High SES,All,All,All,Deaths,absolute number,United States,10488,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,High SES,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,284.457695640384,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,Middle SES,All,All,All,Deaths,absolute number,United States,4339,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,Middle SES,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,259.901149719021,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,Low SES,All,All,All,Deaths,absolute number,United States,4416,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,Low SES,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,275.531064540374,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,High HC,All,All,Deaths,absolute number,United States,10308,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,High HC,All,All,Deaths,"age-adjusted rate per 100,000",United States,280.968338178885,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,Middle HC,All,All,Deaths,absolute number,United States,3567,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,Middle HC,All,All,Deaths,"age-adjusted rate per 100,000",United States,264.197523179419,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,Low HC,All,All,Deaths,absolute number,United States,5368,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,Low HC,All,All,Deaths,"age-adjusted rate per 100,000",United States,276.771517281865,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,All,High MS,All,Deaths,absolute number,United States,141,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,All,High MS,All,Deaths,"age-adjusted rate per 100,000",United States,241.113989552623,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,All,Middle MS,All,Deaths,absolute number,United States,615,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,All,Middle MS,All,Deaths,"age-adjusted rate per 100,000",United States,247.928854239497,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,All,Low MS,All,Deaths,absolute number,United States,18487,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,All,Low MS,All,Deaths,"age-adjusted rate per 100,000",United States,277.947491292408,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,All,All,High HTT,Deaths,absolute number,United States,706,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,All,All,High HTT,Deaths,"age-adjusted rate per 100,000",United States,240.403278559506,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,All,All,Middle HTT,Deaths,absolute number,United States,3475,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,All,All,Middle HTT,Deaths,"age-adjusted rate per 100,000",United States,260.565432954892,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,All,All,Low HTT,Deaths,absolute number,United States,15062,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,All,All,Low HTT,Deaths,"age-adjusted rate per 100,000",United States,282.929071033374,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,19243,25,150,nation
1990,All genders,Asian or Pacific Islander,All,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,554.544364553329,25,150,nation
1990,All genders,Black American,Resilient SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,16582,25,150,nation
1990,All genders,Black American,Resilient SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,1045.01393920417,25,150,nation
1990,All genders,Black American,Moderate SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,60288,25,150,nation
1990,All genders,Black American,Moderate SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,1143.61703092992,25,150,nation
1990,All genders,Black American,Vulnerable SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,161109,25,150,nation
1990,All genders,Black American,Vulnerable SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,1224.03283813045,25,150,nation
1990,All genders,Black American,All,Large metro,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,153940,25,150,nation
1990,All genders,Black American,All,Large metro,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,1171.69970659445,25,150,nation
1990,All genders,Black American,All,Small-medium metro,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,54974,25,150,nation
1990,All genders,Black American,All,Small-medium metro,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,1177.24162338698,25,150,nation
1990,All genders,Black American,All,Non metro,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,29065,25,150,nation
1990,All genders,Black American,All,Non metro,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,1168.12238294279,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,High SES,All,All,All,Deaths,absolute number,United States,53489,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,High SES,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,1097.66131299757,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,Middle SES,All,All,All,Deaths,absolute number,United States,101001,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,Middle SES,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,1215.83372579877,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,Low SES,All,All,All,Deaths,absolute number,United States,83489,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,Low SES,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,1220.4417721546,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,High HC,All,All,Deaths,absolute number,United States,48609,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,High HC,All,All,Deaths,"age-adjusted rate per 100,000",United States,1122.23215666537,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,Middle HC,All,All,Deaths,absolute number,United States,71299,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,Middle HC,All,All,Deaths,"age-adjusted rate per 100,000",United States,1186.80363128047,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,Low HC,All,All,Deaths,absolute number,United States,118071,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,Low HC,All,All,Deaths,"age-adjusted rate per 100,000",United States,1216.55960216321,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,All,High MS,All,Deaths,absolute number,United States,3472,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,All,High MS,All,Deaths,"age-adjusted rate per 100,000",United States,1140.10464572001,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,All,Middle MS,All,Deaths,absolute number,United States,34766,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,All,Middle MS,All,Deaths,"age-adjusted rate per 100,000",United States,1156.12039442529,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,All,Low MS,All,Deaths,absolute number,United States,199741,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,All,Low MS,All,Deaths,"age-adjusted rate per 100,000",United States,1189.46436222588,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,All,All,High HTT,Deaths,absolute number,United States,10716,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,All,All,High HTT,Deaths,"age-adjusted rate per 100,000",United States,1074.66645177945,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,All,All,Middle HTT,Deaths,absolute number,United States,38468,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,All,All,Middle HTT,Deaths,"age-adjusted rate per 100,000",United States,1126.65212539537,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,All,All,Low HTT,Deaths,absolute number,United States,188795,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,All,All,Low HTT,Deaths,"age-adjusted rate per 100,000",United States,1205.91374709405,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,237979,25,150,nation
1990,All genders,Black American,All,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,1172.33123973357,25,150,nation
1990,All genders,White,Resilient SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,466687,25,150,nation
1990,All genders,White,Resilient SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,842.019250378355,25,150,nation
1990,All genders,White,Moderate SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,701213,25,150,nation
1990,All genders,White,Moderate SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,871.487104472812,25,150,nation
1990,All genders,White,Vulnerable SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,607292,25,150,nation
1990,All genders,White,Vulnerable SVI,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,948.95944558096,25,150,nation
1990,All genders,White,All,Large metro,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,928660,25,150,nation
1990,All genders,White,All,Large metro,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,874.309546104164,25,150,nation
1990,All genders,White,All,Small-medium metro,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,527512,25,150,nation
1990,All genders,White,All,Small-medium metro,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,875.64629656986,25,150,nation
1990,All genders,White,All,Non metro,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,319020,25,150,nation
1990,All genders,White,All,Non metro,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,898.589225749477,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,High SES,All,All,All,Deaths,absolute number,United States,821693,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,High SES,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,843.791293334014,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,Middle SES,All,All,All,Deaths,absolute number,United States,613999,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,Middle SES,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,907.246280916318,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,Low SES,All,All,All,Deaths,absolute number,United States,339500,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,Low SES,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,974.8696453639,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,High HC,All,All,Deaths,absolute number,United States,677893,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,High HC,All,All,Deaths,"age-adjusted rate per 100,000",United States,852.215323609536,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,Middle HC,All,All,Deaths,absolute number,United States,615357,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,Middle HC,All,All,Deaths,"age-adjusted rate per 100,000",United States,883.740742167703,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,Low HC,All,All,Deaths,absolute number,United States,481942,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,Low HC,All,All,Deaths,"age-adjusted rate per 100,000",United States,951.155311444862,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,All,High MS,All,Deaths,absolute number,United States,249642,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,All,High MS,All,Deaths,"age-adjusted rate per 100,000",United States,897.407894436921,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,All,Middle MS,All,Deaths,absolute number,United States,417990,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,All,Middle MS,All,Deaths,"age-adjusted rate per 100,000",United States,874.130863405522,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,All,Low MS,All,Deaths,absolute number,United States,1107560,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,All,Low MS,All,Deaths,"age-adjusted rate per 100,000",United States,889.155097919664,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,All,All,High HTT,Deaths,absolute number,United States,293161,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,All,All,High HTT,Deaths,"age-adjusted rate per 100,000",United States,854.87031975203,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,All,All,Middle HTT,Deaths,absolute number,United States,566750,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,All,All,Middle HTT,Deaths,"age-adjusted rate per 100,000",United States,877.149498762789,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,All,All,Low HTT,Deaths,absolute number,United States,915281,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,All,All,Low HTT,Deaths,"age-adjusted rate per 100,000",United States,905.8170603709,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,All,All,All,Deaths,absolute number,United States,1775192,25,150,nation
1990,All genders,White,All,All,666,National Vital Statistics System,All,All,All,All,Deaths,"age-adjusted rate per 100,000",United States,867.408629280375,25,150,nation
