rural_urban_class,scenario,svi_bin,svi_bin1,svi_bin2,svi_bin3,svi_bin4,Region,Gender.Code,Ethnicity,Education,Year,min_age,max_age,value,mean_lower,mean_upper,agr_by,pm_metric
Large metro,real,All,All,All,All,All,United States,All genders,Black American,666,1990,25,150,20.1250277492019,20.1180260597416,20.1320294386623,nation,mean
Large metro,real,All,All,All,All,All,United States,All genders,Black American,666,1990,65,150,20.3855591714474,20.3770816501063,20.3940366927886,nation,mean
Large metro,real,All,All,All,All,All,United States,All genders,White,666,1990,25,150,18.1563383881707,18.1505832788146,18.1620934975269,nation,mean
Large metro,real,All,All,All,All,All,United States,All genders,White,666,1990,65,150,18.2657468832054,18.2587665787062,18.2727271877045,nation,mean
Small-medium metro,NAAQS,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,25,150,11.4329259841066,11.43065047242,11.4352014957932,nation,mean
Small-medium metro,NAAQS,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,65,150,11.5129282215948,11.5103032030767,11.5155532401129,nation,mean
Small-medium metro,NAAQS,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,10.2567924578525,10.2464116345292,10.2671732811759,nation,mean
Small-medium metro,NAAQS,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,10.4525993217816,10.4435193804568,10.4616792631064,nation,mean
Small-medium metro,NAAQS,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,7.92961271106865,7.92677156889627,7.93245385324103,nation,mean
Small-medium metro,NAAQS,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,6.06038514507272,6.05804554708278,6.06272474306265,nation,mean
Small-medium metro,NAAQS,All,All,All,All,All,United States,All genders,Black American,666,1990,25,150,11.8608031848422,11.8596541476302,11.8619522220542,nation,mean
Small-medium metro,NAAQS,All,All,All,All,All,United States,All genders,Black American,666,1990,65,150,11.9329593171282,11.9317231640847,11.9341954701717,nation,mean
Small-medium metro,NAAQS,All,All,All,All,All,United States,All genders,White,666,1990,25,150,11.4876213283377,11.4852165152314,11.4900261414441,nation,mean
Small-medium metro,NAAQS,All,All,All,All,All,United States,All genders,White,666,1990,65,150,11.5660439214408,11.563234958597,11.5688528842847,nation,mean
Small-medium metro,WHO,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,25,150,9.71335014390466,9.71202938077225,9.71467090703707,nation,mean
Small-medium metro,WHO,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,65,150,9.76996946548308,9.76854066614245,9.7713982648237,nation,mean
Small-medium metro,WHO,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,8.97247156393594,8.96397880369445,8.98096432417743,nation,mean
Small-medium metro,WHO,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,9.1128286165971,9.10510852307456,9.12054871011964,nation,mean
Small-medium metro,WHO,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,6.91961736314444,6.91831809282094,6.92091663346794,nation,mean
Small-medium metro,WHO,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,5.43728612939835,5.43618456431197,5.43838769448474,nation,mean
Small-medium metro,WHO,All,All,All,All,All,United States,All genders,Black American,666,1990,25,150,9.92886627906984,9.92816697768199,9.92956558045769,nation,mean
Small-medium metro,WHO,All,All,All,All,All,United States,All genders,Black American,666,1990,65,150,9.97114472643076,9.9703701271269,9.97191932573461,nation,mean
Small-medium metro,WHO,All,All,All,All,All,United States,All genders,White,666,1990,25,150,9.76435436461477,9.76296861959546,9.76574010963408,nation,mean
Small-medium metro,WHO,All,All,All,All,All,United States,All genders,White,666,1990,65,150,9.81947693810177,9.81795055818792,9.82100331801562,nation,mean
Small-medium metro,real,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,25,150,15.6737755651412,15.6674951527619,15.6800559775205,nation,mean
Small-medium metro,real,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,65,150,15.8406022221872,15.8332218965194,15.8479825478551,nation,mean
Small-medium metro,real,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,12.5821812562294,12.5669032942082,12.5974592182507,nation,mean
Small-medium metro,real,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,12.7646580322386,12.7468864142712,12.782429650206,nation,mean
Small-medium metro,real,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,10.6048902641222,10.5923442528382,10.6174362754062,nation,mean
Small-medium metro,real,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,7.73245240297299,7.72073880253636,7.74416600340963,nation,mean
Small-medium metro,real,All,All,All,All,All,United States,All genders,Black American,666,1990,25,150,17.9707039711845,17.9582529583602,17.9831549840088,nation,mean
Small-medium metro,real,All,All,All,All,All,United States,All genders,Black American,666,1990,65,150,18.2690214805182,18.253935278306,18.2841076827304,nation,mean
Small-medium metro,real,All,All,All,All,All,United States,All genders,White,666,1990,25,150,15.6264920688942,15.6200466509793,15.6329374868092,nation,mean
Small-medium metro,real,All,All,All,All,All,United States,All genders,White,666,1990,65,150,15.8097723146768,15.802050809262,15.8174938200915,nation,mean
Non metro,NAAQS,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,25,150,10.8526575856839,10.8497740791113,10.8555410922566,nation,mean
Non metro,NAAQS,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,65,150,10.9148009792196,10.9118070218443,10.9177949365949,nation,mean
Non metro,NAAQS,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,8.40675518308287,8.39292795344938,8.42058241271637,nation,mean
Non metro,NAAQS,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,8.72515061991761,8.71134639804213,8.73895484179309,nation,mean
Non metro,NAAQS,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,7.10419376450517,7.09910661647936,7.10928091253098,nation,mean
Non metro,NAAQS,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,4.99916595880891,4.99395355558661,5.0043783620312,nation,mean
Non metro,NAAQS,All,All,All,All,All,United States,All genders,Black American,666,1990,25,150,11.8680887102601,11.8667539620234,11.8694234584969,nation,mean
Non metro,NAAQS,All,All,All,All,All,United States,All genders,Black American,666,1990,65,150,11.9112025103079,11.9100858989279,11.9123191216879,nation,mean
Non metro,NAAQS,All,All,All,All,All,United States,All genders,White,666,1990,25,150,10.856988933671,10.8539764703024,10.8600013970397,nation,mean
Non metro,NAAQS,All,All,All,All,All,United States,All genders,White,666,1990,65,150,10.8979386036752,10.8947760941596,10.9011011131909,nation,mean
Non metro,WHO,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,25,150,9.4164073144489,9.41432333247632,9.41849129642148,nation,mean
Non metro,WHO,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,65,150,9.46874500172572,9.46663755241387,9.47085245103757,nation,mean
Non metro,WHO,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,7.66596677831109,7.65339606680718,7.67853748981501,nation,mean
Non metro,WHO,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,7.88686007135709,7.87464348615619,7.89907665655798,nation,mean
Non metro,WHO,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,6.40345943355744,6.40031608321289,6.40660278390198,nation,mean
Non metro,WHO,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,4.68449188586212,4.68126006676742,4.68772370495682,nation,mean
Non metro,WHO,All,All,All,All,All,United States,All genders,Black American,666,1990,25,150,9.93877251777051,9.93783655138265,9.93970848415836,nation,mean
Non metro,WHO,All,All,All,All,All,United States,All genders,Black American,666,1990,65,150,9.96062228539222,9.95983875988271,9.96140581090173,nation,mean
Non metro,WHO,All,All,All,All,All,United States,All genders,White,666,1990,25,150,9.43546110649619,9.43330249215447,9.43761972083791,nation,mean
Non metro,WHO,All,All,All,All,All,United States,All genders,White,666,1990,65,150,9.47316821135376,9.47095004157495,9.47538638113256,nation,mean
Non metro,real,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,25,150,13.868078304539,13.8622720052403,13.8738846038377,nation,mean
Non metro,real,All,All,All,All,All,United States,All genders,"All, All Origins",666,1990,65,150,13.9003239704433,13.8940309374943,13.9066170033923,nation,mean
Non metro,real,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,9.45596534506965,9.43739787720062,9.47453281293868,nation,mean
Non metro,real,All,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,9.84005996895292,9.82003380701279,9.86008613089305,nation,mean
Non metro,real,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,8.48452876052917,8.47330333916866,8.49575418188968,nation,mean
Non metro,real,All,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,5.61048894364125,5.60224858386243,5.61872930342007,nation,mean
Non metro,real,All,All,All,All,All,United States,All genders,Black American,666,1990,25,150,16.7198748511995,16.7073254494863,16.7324242529126,nation,mean
Non metro,real,All,All,All,All,All,United States,All genders,Black American,666,1990,65,150,16.7798378692131,16.7663487919027,16.7933269465235,nation,mean
Non metro,real,All,All,All,All,All,United States,All genders,White,666,1990,25,150,13.7933594274974,13.7874018620447,13.7993169929501,nation,mean
Non metro,real,All,All,All,All,All,United States,All genders,White,666,1990,65,150,13.7899691119935,13.7834802077953,13.7964580161917,nation,mean
All,NAAQS,Resilient SVI,All,All,All,All,United States,All genders,"All, All Origins",666,1990,25,150,11.6400067623951,11.6381404199184,11.6418731048719,nation,mean
All,NAAQS,Resilient SVI,All,All,All,All,United States,All genders,"All, All Origins",666,1990,65,150,11.6098063450163,11.6077068815768,11.6119058084558,nation,mean
All,NAAQS,Resilient SVI,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,11.3141333649429,11.3092815410681,11.3189851888177,nation,mean
All,NAAQS,Resilient SVI,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,11.3223443214313,11.3166637946254,11.3280248482371,nation,mean
All,NAAQS,Resilient SVI,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,11.8445266524307,11.8387923888608,11.8502609160006,nation,mean
All,NAAQS,Resilient SVI,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,11.8492999911298,11.8426651855985,11.855934796661,nation,mean
All,NAAQS,Resilient SVI,All,All,All,All,United States,All genders,Black American,666,1990,25,150,11.9473894584441,11.9460765036624,11.9487024132258,nation,mean
All,NAAQS,Resilient SVI,All,All,All,All,United States,All genders,Black American,666,1990,65,150,11.9692432971773,11.9680769472683,11.9704096470862,nation,mean
All,NAAQS,Resilient SVI,All,All,All,All,United States,All genders,White,666,1990,25,150,11.623657023157,11.6217528763647,11.6255611699493,nation,mean
All,NAAQS,Resilient SVI,All,All,All,All,United States,All genders,White,666,1990,65,150,11.599011284002,11.5968631848081,11.6011593831959,nation,mean
All,NAAQS,Moderate SVI,All,All,All,All,United States,All genders,"All, All Origins",666,1990,25,150,11.5238683274924,11.5221375097436,11.5255991452411,nation,mean
All,NAAQS,Moderate SVI,All,All,All,All,United States,All genders,"All, All Origins",666,1990,65,150,11.5680161989216,11.5658580122761,11.5701743855672,nation,mean
All,NAAQS,Moderate SVI,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,10.4857789428646,10.4788376679754,10.4927202177539,nation,mean
All,NAAQS,Moderate SVI,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,10.6075076666771,10.5987865288234,10.6162288045308,nation,mean
All,NAAQS,Moderate SVI,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,9.47525907534382,9.47171022896933,9.47880792171832,nation,mean
All,NAAQS,Moderate SVI,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,8.0002198992027,7.99614500694718,8.00429479145823,nation,mean
All,NAAQS,Moderate SVI,All,All,All,All,United States,All genders,Black American,666,1990,25,150,11.9021049431446,11.901206942898,11.9030029433911,nation,mean
All,NAAQS,Moderate SVI,All,All,All,All,United States,All genders,Black American,666,1990,65,150,11.951887462491,11.9509211774009,11.9528537475811,nation,mean
All,NAAQS,Moderate SVI,All,All,All,All,United States,All genders,White,666,1990,25,150,11.5568913719583,11.5550216911849,11.5587610527318,nation,mean
All,NAAQS,Moderate SVI,All,All,All,All,United States,All genders,White,666,1990,65,150,11.6075503885374,11.6052573712295,11.6098434058453,nation,mean
All,NAAQS,Vulnerable SVI,All,All,All,All,United States,All genders,"All, All Origins",666,1990,25,150,11.6664279919168,11.6648638619944,11.6679921218392,nation,mean
All,NAAQS,Vulnerable SVI,All,All,All,All,United States,All genders,"All, All Origins",666,1990,65,150,11.653456764392,11.651545186773,11.6553683420109,nation,mean
All,NAAQS,Vulnerable SVI,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,9.7065413848164,9.69717679651855,9.71590597311425,nation,mean
All,NAAQS,Vulnerable SVI,All,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,9.75733496423234,9.74826226966451,9.76640765880017,nation,mean
All,NAAQS,Vulnerable SVI,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,11.7212343697931,11.7199736509496,11.7224950886365,nation,mean
All,NAAQS,Vulnerable SVI,All,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,11.5242653245171,11.5229071833723,11.5256234656618,nation,mean
All,NAAQS,Vulnerable SVI,All,All,All,All,United States,All genders,Black American,666,1990,25,150,11.9576327042568,11.9570031595669,11.9582622489468,nation,mean
All,NAAQS,Vulnerable SVI,All,All,All,All,United States,All genders,Black American,666,1990,65,150,11.9667342877061,11.9660541117593,11.967414463653,nation,mean
All,NAAQS,Vulnerable SVI,All,All,All,All,United States,All genders,White,666,1990,25,150,11.6199961374813,11.6180918731963,11.6219004017662,nation,mean
All,NAAQS,Vulnerable SVI,All,All,All,All,United States,All genders,White,666,1990,65,150,11.6164806820896,11.6142076587694,11.6187537054098,nation,mean
All,NAAQS,All,High SES,All,All,All,United States,All genders,"All, All Origins",666,1990,25,150,11.6115816331107,11.6100706059714,11.61309266025,nation,mean
All,NAAQS,All,High SES,All,All,All,United States,All genders,"All, All Origins",666,1990,65,150,11.6358026001638,11.6338733171419,11.6377318831856,nation,mean
All,NAAQS,All,High SES,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,10.8991539586629,10.895349400148,10.9029585171779,nation,mean
All,NAAQS,All,High SES,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,10.9890972322565,10.9843467829541,10.9938476815589,nation,mean
All,NAAQS,All,High SES,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,10.2582894783965,10.2549451603103,10.2616337964828,nation,mean
All,NAAQS,All,High SES,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,8.95013732752266,8.9464633932936,8.95381126175173,nation,mean
All,NAAQS,All,High SES,All,All,All,United States,All genders,Black American,666,1990,25,150,11.9096252378589,11.9087170263669,11.9105334493509,nation,mean
All,NAAQS,All,High SES,All,All,All,United States,All genders,Black American,666,1990,65,150,11.9575583586721,11.9565664664295,11.9585502509147,nation,mean
All,NAAQS,All,High SES,All,All,All,United States,All genders,White,666,1990,25,150,11.6388598009823,11.6372630001878,11.6404566017769,nation,mean
All,NAAQS,All,High SES,All,All,All,United States,All genders,White,666,1990,65,150,11.6723431554393,11.6703190173537,11.674367293525,nation,mean
All,NAAQS,All,Middle SES,All,All,All,United States,All genders,"All, All Origins",666,1990,25,150,11.619840114634,11.6181037414855,11.6215764877825,nation,mean
All,NAAQS,All,Middle SES,All,All,All,United States,All genders,"All, All Origins",666,1990,65,150,11.6006452926572,11.5986087901569,11.6026817951575,nation,mean
All,NAAQS,All,Middle SES,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,10.6179371066214,10.6074099820727,10.62846423117,nation,mean
All,NAAQS,All,Middle SES,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,10.6227519161649,10.6127482593134,10.6327555730165,nation,mean
All,NAAQS,All,Middle SES,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,11.5390248527556,11.537382424519,11.5406672809922,nation,mean
All,NAAQS,All,Middle SES,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,11.1023902372749,11.1006295146592,11.1041509598907,nation,mean
All,NAAQS,All,Middle SES,All,All,All,United States,All genders,Black American,666,1990,25,150,11.9508359348624,11.9499283511413,11.9517435185835,nation,mean
All,NAAQS,All,Middle SES,All,All,All,United States,All genders,Black American,666,1990,65,150,11.9665638684069,11.9655494599458,11.967578276868,nation,mean
All,NAAQS,All,Middle SES,All,All,All,United States,All genders,White,666,1990,25,150,11.5749186075621,11.5729621139159,11.5768751012083,nation,mean
All,NAAQS,All,Middle SES,All,All,All,United States,All genders,White,666,1990,65,150,11.5694908946871,11.5672398308764,11.5717419584978,nation,mean
All,NAAQS,All,Low SES,All,All,All,United States,All genders,"All, All Origins",666,1990,25,150,11.5714758900095,11.5694645757021,11.5734872043169,nation,mean
All,NAAQS,All,Low SES,All,All,All,United States,All genders,"All, All Origins",666,1990,65,150,11.5613131006495,11.5590245013531,11.5636016999459,nation,mean
All,NAAQS,All,Low SES,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,9.24766583799427,9.23609567931328,9.25923599667527,nation,mean
All,NAAQS,All,Low SES,All,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,9.41853744720595,9.4071678895376,9.42990700487429,nation,mean
All,NAAQS,All,Low SES,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,11.9144044234717,11.9134256671238,11.9153831798197,nation,mean
All,NAAQS,All,Low SES,All,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,11.9342305148733,11.9331443818077,11.935316647939,nation,mean
All,NAAQS,All,Low SES,All,All,All,United States,All genders,Black American,666,1990,25,150,11.9571007290515,11.9565269540148,11.9576745040883,nation,mean
All,NAAQS,All,Low SES,All,All,All,United States,All genders,Black American,666,1990,65,150,11.9626282498783,11.9620154613918,11.9632410383649,nation,mean
All,NAAQS,All,Low SES,All,All,All,United States,All genders,White,666,1990,25,150,11.5088221894388,11.5063800498844,11.5112643289932,nation,mean
All,NAAQS,All,Low SES,All,All,All,United States,All genders,White,666,1990,65,150,11.5076816410568,11.5049821825148,11.5103810995989,nation,mean
All,NAAQS,All,All,High HC,All,All,United States,All genders,"All, All Origins",666,1990,25,150,11.5946886163068,11.593057272462,11.5963199601516,nation,mean
All,NAAQS,All,All,High HC,All,All,United States,All genders,"All, All Origins",666,1990,65,150,11.5989659961613,11.5971187456392,11.6008132466834,nation,mean
All,NAAQS,All,All,High HC,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,11.0175307000916,11.0108385222929,11.0242228778902,nation,mean
All,NAAQS,All,All,High HC,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,11.0199385473547,11.0100931308436,11.0297839638659,nation,mean
All,NAAQS,All,All,High HC,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,10.5088264884691,10.5055529365753,10.512100040363,nation,mean
All,NAAQS,All,All,High HC,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,9.44504492806528,9.44145871375767,9.44863114237289,nation,mean
All,NAAQS,All,All,High HC,All,All,United States,All genders,Black American,666,1990,25,150,11.914536159832,11.9134570462766,11.9156152733875,nation,mean
All,NAAQS,All,All,High HC,All,All,United States,All genders,Black American,666,1990,65,150,11.9640159184755,11.963101551549,11.964930285402,nation,mean
All,NAAQS,All,All,High HC,All,All,United States,All genders,White,666,1990,25,150,11.6157272542568,11.6139907809032,11.6174637276104,nation,mean
All,NAAQS,All,All,High HC,All,All,United States,All genders,White,666,1990,65,150,11.6308778126431,11.6289293613993,11.6328262638869,nation,mean
All,NAAQS,All,All,Middle HC,All,All,United States,All genders,"All, All Origins",666,1990,25,150,11.5808507014499,11.5790398981141,11.5826615047856,nation,mean
All,NAAQS,All,All,Middle HC,All,All,United States,All genders,"All, All Origins",666,1990,65,150,11.5972136148825,11.5948477809175,11.5995794488475,nation,mean
All,NAAQS,All,All,Middle HC,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,10.1358205613791,10.1249342821593,10.1467068405988,nation,mean
All,NAAQS,All,All,Middle HC,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,10.1593705642491,10.1482219758203,10.1705191526779,nation,mean
All,NAAQS,All,All,Middle HC,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,11.0303448907235,11.027876078918,11.032813702529,nation,mean
All,NAAQS,All,All,Middle HC,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,9.98205542560098,9.97899241658127,9.98511843462069,nation,mean
All,NAAQS,All,All,Middle HC,All,All,United States,All genders,Black American,666,1990,25,150,11.9236480519697,11.9225232495057,11.9247728544336,nation,mean
All,NAAQS,All,All,Middle HC,All,All,United States,All genders,Black American,666,1990,65,150,11.9487535025927,11.9473010758251,11.9502059293603,nation,mean
All,NAAQS,All,All,Middle HC,All,All,United States,All genders,White,666,1990,25,150,11.5631937401615,11.5612279834404,11.5651594968826,nation,mean
All,NAAQS,All,All,Middle HC,All,All,United States,All genders,White,666,1990,65,150,11.5906966575641,11.5881576736911,11.593235641437,nation,mean
All,NAAQS,All,All,Low HC,All,All,United States,All genders,"All, All Origins",666,1990,25,150,11.6560607565325,11.6543919360593,11.6577295770057,nation,mean
All,NAAQS,All,All,Low HC,All,All,United States,All genders,"All, All Origins",666,1990,65,150,11.6369909903159,11.6349889208437,11.6389930597882,nation,mean
All,NAAQS,All,All,Low HC,All,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,9.75288986847911,9.74350096114086,9.76227877581735,nation,mean
All,NAAQS,All,All,Low HC,All,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,9.88746051846706,9.87839064358448,9.89653039334964,nation,mean
All,NAAQS,All,All,Low HC,All,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,11.769642254731,11.7685647385132,11.7707197709487,nation,mean
All,NAAQS,All,All,Low HC,All,All,United States,All genders,Asian or Pacific Islander,666,1990,65,150,11.5984725081578,11.5974186189121,11.5995263974036,nation,mean
All,NAAQS,All,All,Low HC,All,All,United States,All genders,Black American,666,1990,25,150,11.967940672379,11.967485657429,11.9683956873289,nation,mean
All,NAAQS,All,All,Low HC,All,All,United States,All genders,Black American,666,1990,65,150,11.9711180519072,11.9706382679262,11.9715978358881,nation,mean
All,NAAQS,All,All,Low HC,All,All,United States,All genders,White,666,1990,25,150,11.6087534145179,11.6067415803055,11.6107652487304,nation,mean
All,NAAQS,All,All,Low HC,All,All,United States,All genders,White,666,1990,65,150,11.5977850011585,11.5954341256011,11.6001358767158,nation,mean
All,NAAQS,All,All,All,High MS,All,United States,All genders,"All, All Origins",666,1990,25,150,11.3973008798858,11.3946794351187,11.3999223246529,nation,mean
All,NAAQS,All,All,All,High MS,All,United States,All genders,"All, All Origins",666,1990,65,150,11.3657118001294,11.362966292182,11.3684573080769,nation,mean
All,NAAQS,All,All,All,High MS,All,United States,All genders,American Indian or Alaska Native,666,1990,25,150,10.5453850652298,10.5358786359828,10.5548914944768,nation,mean
All,NAAQS,All,All,All,High MS,All,United States,All genders,American Indian or Alaska Native,666,1990,65,150,10.6389284102064,10.6279460938581,10.6499107265547,nation,mean
All,NAAQS,All,All,All,High MS,All,United States,All genders,Asian or Pacific Islander,666,1990,25,150,11.4525780106464,11.44543536486,11.4597206564329,nation,mean
